4546.0,4546.0,4439.0,1. 28580,8355,6905,7024,19216
4553.0,4553.0,4446.0,1. 287G6,7489,6906,7025,17224
4560.0,4560.0,4453.0,1.289J5,8293,6907,7027,19074
4567.0,4567.0,4460.0,1.29130,7198,6908,7027,16556
4574.0,4574.0,4467.0,1.293 r14,6550,6907,7026,15065
4581.0,4581. o,4474.0,1.295 ~ 6,6910,6907,7026,15894
4588.0,4588.0,4481. o,1.29741,7179,6908,7026,16512
4595.0,4595.0,4488.0,1.299JO,7402,6908,7027,17025
4602.0,4602.0,4495.0,1. 301 ~ 3,7265,6909,7027,16709
4609.0,4609.0,4502.0,1. 302 9 6,9808,6912,7031,22558
4616.0,4616.0,4509.0,1.30445,7788,6913,7032,17913
4623.0,4623.0,4516.0,1. 306 .h,7997,6915,7033,18394
4630.0,4630.0,4523.0,1.308)2,7731,6916,7034,17781
4637.0,4637.0,4530.0,1. 309 ')4,7264,6916,7035,16708
4644.0,4644.0,4537.0,1.3119 9,6844,6916,7034,15741
46 51. o,4651. o,4544.0,1. 314 06,6772,6916,7034,15577
4658.0,4658.0,4551.0,1. 315 9 0,7607,6917,7035,17497
4665.0,4665.0,4558.0,1. 317~0,8240,6919,7036,18951
4672.0,4672.0,4565.0,1. 319 ::7,7907,6920,7038,18187
4679.0,4679.0,4572.0,1. 321:::5,7424,6921,7038,17076
4686.0,4686.0,4579.0,1.323 Òl,7970,6922,7039,18330
4693.0,4693.0,4586.0,1. 324 ~) 3,7278,6923,7040,16740
4707.0,4707.0,4600.0,1. 328 1.i8 7469,6924,7041,17178.0
4714.0,4714.0,4607.0,1.330 ~ 6 7478,6925,7042,17200.0
4721.0,4721. o,4614.0,1. 33233 7908,6926,7043,18188.0
4728.0,4728.0,4621. o,1.333 86 9114,6929,7046,20962.0
4735.0,4735.0,4628.0,1.335 / 6 7361,6929,7046,16931.0
4742.0,4742.0,4635.0,1.33767 7353,6930,7047,16912.0
4749.0,4749.0,4642.0,1. 33934 8361,6932,7048,19231.0
4756.0,4756.0,4649.0,1.34081 9560,6935,7052,21989.0
4763.0,4763.0,4656.0,1.34277 7126,6935,7052,16389.0
4770.0,4770.0,4663.0,1.34464 7479,6936,7052,17202.0
4777.0,4777.0,4670.0,1. 3 461) o 7162,6936,7052,16472.0
4784.0,4784.0,4677.0,1.348;)9 7038,6936,7052,16187.0
4791.0,4791.0,4684.0,1.35059 6984,6936,7052,16064.0
4798.0,4798.0,4691. o,1.35228 8291,6938,7054,19070.0
4805.0,4805.0,4698.0,1. 353 .(16 8894,6940,7056,20455.0
4812.0,4812.0,4705.0,1.35557 8163,6942,7058,18775.0
4819.0,4819.0,4712.0,1. 35749 7288,6942,7058,16762.0
4826.0,4826.0,4719.0,1.359~W 8189,6944,7060,18834.0
4833.0,4833.0,4726.0,1. 36054 10474,6947,7064,24089.0
4840.0,4840.0,4733.0,1.362.1.4 8723,6949,7066,20062.0
4847.0,4847.0,4740.0,1.363J6 7696,6950,7067,17702.0
4854.0,4854.0,4747.0,1. 365 77 7758,6951,7068,17843.0
4861.0,4861. o,4754.0,1.367')7 7770,6952,7069,17871.0
4868.0,4868.0,4761.0,1. 369 ·19 7300,6953,7069,16791.0
4875.0,4875.0,4768.0,1.37136 7478,6954,7070,17199.0
4882.0,4882.0,4775.0,1.37303 8384,6955,7072,19284.0
4889.0,4889.0,4782.0,1.37479 7950,6957,7073,18285.0
4896.0,4896.0,4789.0,1.376 02 11384,6961,7078,26184.0
4903.0,4903.0,4796.0,1.377 57 9044,6963,7080,20802.0
4910.0,4910.0,4803.0,1.37899 9848,6966,7084,22651.0
4917.0,4917.0,4810.0,1.380 ~ 5 10264,6969,7088,23607.0
4924.0,4924.0,4817.0,1.38188 9139,6972,7090,21019.0
4931.0,4931.0,4824.0,1.383 54 8433,6973,7092,19396.0
4938.0,4938.0,4831. o,1. 335 ;~7 8111,6975,7093,18654.0
4945.0,4945.0,4838.0,1. 38 7 :.L0 7652,6976,7094,17599.0
4952.0,4952.0,4845.0,1.38894 7604,6977,7095,17489.0
4959.0,4959.0,4852.0,"1. 390 ,33 7402",6977,7095,17024.0
